Calle Agustin Lara No. 69-B	Col. Ex-Normal Tuxtepec
Av. 20 De Noviembre No 1225	Centro Tuxtepec
Independencia 1683	La Piragua
Av. 20 De Noviembre No.1041	Col. Centro Tuxtepec
Lazaro Cardenas No.195	Sn.Miguel Soyaltepec
Av. 5 De Mayo No. 357	Col.Centro Tuxtepec
Av. 5 De Mayo No. 357	Col.Centro Tuxtepec
Av. Independencia No. 427	Col.Centro Tuxtepec.Oax.
Independencia No. 427	Centro
Carr. A Ojitaln No 951-A	5 De Mayo Tuxtepec
Av. 5 De Mayo No 1189	Centro Tuxtepec
Blvd. Benito Juarez No 439 B	Col. Centro Tuxtepec
Av. 20 De Noviembre No. 1950	Centro Tuxtepec
Av. Independencia No. 395	Col.Centro Tuxtepec
Benito Juarez No 568	Centro
Av.Independencia No. 246	Col.Centro Tuxtepec
Francisco I. Madero No. 182	Col.Ma.Eugenia Tuxtepec.Oax.
Av. Jesus Carranza No.73	Centro Tuxtepec
Av. 5 De Mayo No. 1230-B	Col. Centro Tuxtepec
Av. Independencia No.528	Col. Centro Tuxtepec
Av. Jesus Carranza No.765	Col.Centro
Av. Independencia No. 47	Centro
Av. Independencia No. 701	Centro
Av.Independencia No 623	Col. Centro Tuxtepec
Calle Morelos No.72	Col.Centro Tuxtepec
Av. Independencia No. 666	Col. Centro Tuxtepec
Calle Iturbide No. 52	La Piragua Tuxtepec
Av. Reforma No.587	Col.El Castillo
Av. Independencia No. 1029	Col. La Piragua Tuxtepec
Calle Matamoros No. 78	Col.Centro Tuxtepec
Calle Matamoros No. 11	Col.Centro Tuxtepec
Av. Independencia No. 377	Col. Centro Tuxtepec
Av. 20 De Noviembre No.772	Col.Centro Tuxtepec.
Av. Independencia No. 374	Col.Centro
Av. Independencia No. 727	Col. Centro Tuxtepec
20 De Noviembre No. 1858	La Pirena
Prolong.Independencia No.468-B	Col.Oaxaca
Carr.Ojitlan No.43	Col. 5 De Mayo Tuxtepec
Calle Guerrero Esq. Muro Blvd.	Col. Centro
Av 5 De Mayo No. 1006	La Piragua
Matamoros 127	Centro
Av. Independencia No. 21	Camelia Roja Tuxtepec
Av. Independencia 666	Centro
Blvd.Benito Juarez No. 42-C	Col.Costa Verde
Domicilio Conocido S/N.	Centro -Temascal
Av. Independencia No. 1029	Col. La Piragua
Domicilio Conocido Km.21	Sn.Miguel Soyaltepec
Av. Independencia No. 568	Centro
11 Poniente S/N.	Fracc. El Sureste
Jesus Carranza No. 139	Centro
Av. 5 De Mayo No. 1259	Col.Centro Tuxtepec
Av. 5 De Mayo 1281	Centro
Av. 20 De Noviembre No.1636	Col. Centro
Av. Mancilla Esq. Aldama S/N.	Col. Lazaro Cardenas Tuxtepec
Independencia No. 241	Centro
Km.2 Carr.Federal Tux-Oaxaca.	Ex-Hacienda El Yucal
Km. 13 Carr. Miguel Alem¦N	Costa Verde
Av. Independencia No. 643 (425)	Col. Centro Tuxtepec
C. Zaragoza No. 329	Centro
C. Marina Hernandez N. 5	Col. Maria Luisa Tuxtepec
Av. Independencia N0.405	Col. Centro Tuxtepec
Av. Independencia No. 405	Centro
Independencia 824	Centro
Av Independencia No 1189	Centro
Primero De Mayo No 48 Altos	El Reposo Tuxtepec
Calle Aldama No 64	Centro Tuxtepec
Matamoros No 149	Centro Tuxtepec
Ponciano Arriaga No 45	La Piragua Tuxtepec
Av. Independencia No 1683	La Piragua Tuxtepec
C 1o De Mayo No 4	Ampl.Mexico Loma Bonita
Daniel Soto No 354	Maria Luisa Tuxtepec
Av. Independencia No 117	La Piragua Tuxtepec
Av. Jesus Carranza No 1651 Altos	El Reposo Tuxtepec
Mariano Arista No 454	Centro Tuxtepec
Matamoros No 149	Centro Tuxtepec
Boulevard Benito Juarez Esq. Independencia	La Piragua
Independencia No 124	Centro Tuxtepec
Av. Independencia No. 608	Col.Centro Tuxtepec.Oax.
Independencia No 1655	Col. Centro
Av. 5 De Mayo No 1850	La Piragua Tuxtepec
Av. 5 De Mayo No 1014	Centro Tuxtepec
Av. 5 De Mayo No. 1763	La Piragua Tuxtepec
Calle Ocampo No.	Col. Centro Tuxtepec
Av. 20 De Noviembre Esz Santos	Centro
Av. 20 De Noviembre Esq. Santos Degollado	Col.Centro Tuxtepec
Av. Independencia N0.691	Col. Centro Tuxtepec
Nicolas Bravo No 1270	Lazaro Cardenas Tuxtepec
Av. 20 De Noviembre Esq. Matamoros	Centro Tuxtepec
Matamoros No. 325	Centro
Av. Independencia No. 1001	Centro
Plan De Ayala S/N.	Adolfo Lopez Mateos
Matamoros No 360	Centro Tuxtepec
Av. Independencia No 1247	Centro Tuxtepec
Av. 5 De Mayo No 1911	Centro Tuxtepec
Av. Libertad No 387 Esq. Morelos	Centro Tuxtepec
Av. 5 De Mayo No. 1400	Centro
Av. 5 De Mayo No. 1400	Col.Centro Tuxtepec.Oax.
Miguel Hidalgo No 409	Centro Tuxtepec
Av.Independencia No 672	Centro Tuxtepec
Calle Sebastian Ortiz No 690	Centro Tuxtepec
Prol. Av 5 De Mayo No 109	Maria Eugenia Tuxepec
Av. Independencia No 531	Centro Tuxtepec
Libertad 1024	Centro
Km. 2 Carretera Tuxtepec Oaxaca	Centro Tuxtepec
Avenida 3 Calle 2	Fraccionamiento Costa Verde
Blvd. Benito Juarez No 409	Centro Tuxtepec
Av. Independencia No 1125	Centro Tuxtepec
Av. Independencia No 171	Centro Tuxtepec
Av. 5 De Mayo No.801	Col.Centro
Av. Independencia No.166	Col.Centro
Av. Independencia No.725	Col.Centro
Centro Pinero	Matamoros No 71
Av. Jesus Carranza No. 60	Lazaro Cardenas
Av. Independencia No 1950	La Piragua Tuxtepec
Adolfo Lopez Mateos No 25	Adolfo Lopez Mateos Tuxtepec
Hermenegildo Galeana S/N	Centro
Av. 5 De Mayo No 954	Centro Tuxtepec
Av. Ferrocarril S/N.	Col.Centro Pueblo Nvo.
Int. Pasaje Comercial Local No. 4	Centro Tuxtepec
Independencia No 6	Centro
Matamoros 40	Centro
Independencia 432	Centro
Av. Independencia No.932	Col. Centro Tuxtepec
Blvd.Benito Juarez No.786	Col.La Piragua
Av. Libertad No 1294	Centro Tuxtepec
Av. 20 De Noviembre No. 1371	Col. Centro Tuxtepec
Carret.Cd. Aleman-Tuxtepec #2 Col. Flor De Piña Tuxtepec
Benito Juarez 25	Col. Centro
Av. 1o. De Mayo No. 102	Col. Ma. Luisa
Av. 1o. De Mayo No. 108	Col. Maria Luisa
Av. 20 De Noviembre No. 1210	Col.Centro
Benito Juarez No 25	Centro Tuxtepec
Matamoros 29	Centro
Av. Libertad No. 1961	Col. La Piragua Tuxtepec
Calle Matamoros No. 236	Col. Centro
Av. Independencia 1019	Centro
Av. 5 De Mayo No. 1690	La Piragua
Av. Independencia No.309	Col.Centro
Aldama 50	Centro
Calle Matamoros No. 40	Col.Centro Tuxtepec
Matamoros 123	Centro
Calle Matamoros No. 123	Col.Centro Tuxtepec
Av. Independencia No.864	Col.Centro
Av. 5 De Mayo No.1987	Col. La Piragua
Av. Independencia No. 1370-B	Col. La Piragua Tuxtepec
Av. 20 De Noviembre No.1022	Col.Centro Tuxtepec
Libertad Esq. Morelos 834	Centro
Blvd. Benito Juarez No. 197-A	Col.Oaxaca Tuxtepec
Av. 5 De Mayo No. 954	Col. Centro Tuxtepec
Calle Matamoros No. 31	Col. Centro Tuxtepec
Oaxaca S/N	5 De Mayo
Av. Sebastian Ortiz No.229	Col. La Piragua Tuxtepec
Av. 5 De Mayo Esq. Aldama No. 991	Col. Centro Tuxtepec
Calle Lazaro Cardenas S/N.	Temazcal.Oax.
Av. 20 De Noviembre No.2244	Col.Centro
Calle Juarez No. 855	Col. Centro Tuxtepec
Av. 5 De Mayo No. 631	Col.Centro Tuxtepec
Av. 5 De Mayo Esq. Matamoros No 1070	Centro Tuxtepec
Av. Independencia No.787	Col. Centro
Independencia 807	Col.Centro Tuxtepec.Oax.
Av. Independencia No. 409	Col. Centro Tuxtepec
Av. Independencia No. 409	Col. Centro Tuxtepec
Independencia No. 409	Centro
Calle Matamoros No. 415	Col.Centro Tuxtepec
Av. 5 De Mayo No. 2061 	La Piragua Tuxtepec
Av. Jesus Carranza No. 812	Centro
C. Guadalupe Victoria N0.373	Col. 5 De Mayo Tuxtepec
C. Guadalupe Victoria No 373	Col. 5 De Mayo Tuxtepec Oax.
Av. Jesus Carranza No.1063	Col.Centro
Av. Independencia No. 246	Centro
Blvd. Benito Juarez No 2222 	La Piragua Tuxtepec
Ignacio Zaragoza No 303	La Piragua Tuxtepec
Miguel Hidalgo No 689	Lazaro Cardenas Tuxtepec
Blvd. Benito Juarez No 568	Centro Tuxtepec
Av. 20 De Noviembre No 1371	Centro Tuxtepec
Av. 20 De Noviembre No 822	Centro Tuxtepec
Av. 5 De Mayo No 1721	Centro Tuxtepec
Calle Principal S/N.	Sn.Miguel Soyaltepec(Temascal)
Av. Independencia No. 776 Ants.998	Col.Centro Tuxtepec
Calle Sebastian Ortiz No.849	Col. El Reposo
Blvd. Benito Juarez 1684	El Reposo Tuxtepec
Carr. A Ojitlan No. 951-A	Col. 5 De Mayo Tuxtepec
Calle Ocampo S/M.	Col. Centro
Av. Indendencia No. 1381	La Piragua
Av. 5 De Mayo No. 105	Col. Centro
Av. Independencia No. 346	Centro
Aldama Esq. 20 De Noviembre	Centro
Av. Mancilla Esq. Aldama S/N	Lazaro Cardenas
Av. Independencia No. 858	Col. Centro Tuxtepec
C. Aldama No. 25	Col.Centro Tuxtepec
Av. 5 De Mayo No 1219	Centro Tuxtepec
Av. Independencia No 49	Centro Tuxtepec
Prol. Av. 5 De Mayo No. 1145- A	5 De Mayo Tuxtepec
Km. 2 Carretera Tuxtepec- Valle Nacional	Conjunto Habitacional De Cervecera
Av. 20 De Noviembre No 1518	Centro
Arteaga No 729	Lazaro Cardenas Tuxtepec
Av. Independencia N. 1282-A	Centro
Blvd. Benito Juarez  5 De Mayo No 670 La Piragua Tuxtepec
Av. 20 De Noviembre No 1137	Centro Tuxtepec
Matamoros No 350	Centro Tuxtepec
Independencia No 1231 La Piragua Tuxtepec
Aldama No 1212	Lazaro Cardenas Tuxtepec
Santiago Andrés Balvanera # 4 Col. Centro 
Antiguo Mesón De Aspeytia Pasteur Nte. # 25 Col. Centro 
Doña Urraca 5 De Mayo # 117 Col. Centro 
La Casa Del Obispo Pasteur Norte # 26-B Col. Centro 
La Casa Del Naranjo Hidalgo # 21 Col. Centro 
La Casa Del Atrío Allende # 15 Col. Centro
Lucca Juárez # 119-A Col. Centro Histórico 
Minas Constituyentes # 124 Pte. Col. El Jacal 
Centro Av. 5 De Febrero # 110 Col. Centro 
Patíos 5 De Mayo # 109 Col. Centro
Constituyentes Pte. # 138 Col. Centro 
Colón #. 1 Col. Centro
Madero #11 Col. Centro 
Reforma # 33 Col. Centro 
Matamoros # 8 Col. Centro 
3089 Diam Av.
P.O. Box 198, 4976 Eros. Rd.
1441 Risus Rd.
9855 Augue. Street
961-2842 Est Street
P.O. Box 875, 3078 Mus. Av.
279-9153 Ligula St.
4168 Rhoncus. Av.
Ap #400-1059 Mi. Ave
P.O. Box 923, 7231 At Rd.
Ap #968-6531 Vel Ave
586-9733 Interdum Rd.
621-2244 Elit, Road
Ap #159-2317 Torquent Avenue
P.O. Box 777, 9290 Non Ave
Ap #520-1121 Nullam St.
9289 Risus. Street
593 Amet Rd.
P.O. Box 460, 1347 Aliquet Rd.
Ap #910-396 Auctor Rd.
4348 Vitae Ave
9580 Nulla Ave
Ap #393-1738 Donec Road
635-657 Donec Avenue
2686 Amet, Rd.
620-4856 Amet Rd.
2826 Eu St.
862-8838 Enim. Ave
P.O. Box 534, 8306 Amet, Street
P.O. Box 309, 7629 Diam. Avenue
3171 Mauris. Rd.
3726 Iaculis Av.
736-1112 Ornare. Avenue
Ap #909-387 Gravida St.
P.O. Box 685, 6418 Nunc Street
136-5847 Eu, St.
Ap #118-8128 Nunc Av.
9400 Donec St.
Ap #186-6327 Integer St.
Ap #670-5647 Sem, St.
Ap #648-7722 Erat Av.
7459 Amet Road
Ap #200-5858 Ipsum. Street
Ap #174-660 Donec Ave
157-7915 Nunc Av.
258-5064 Tempus, Avenue
Ap #187-8281 Ut, St.
Ap #663-8087 Nunc Ave
6499 Ultricies St.
P.O. Box 673, 1087 Proin Ave
2736 Sit Ave
671 Nisi. St.
135-5441 Malesuada Avenue
471-790 Volutpat Rd.
Ap #119-5836 Nulla Rd.
7610 Lorem St.
Ap #120-3574 Morbi Ave
6931 Donec Avenue
P.O. Box 483, 4119 Sed, Rd.
P.O. Box 884, 2113 Sapien Avenue
P.O. Box 358, 2940 Tempor St.
P.O. Box 401, 6783 Lectus Rd.
P.O. Box 541, 2354 Magna. Road
Ap #984-4800 Malesuada Rd.
P.O. Box 849, 8621 Sed Av.
Ap #452-7137 Senectus St.
Ap #260-9967 Nibh Av.
Ap #373-9969 In, St.
1023 Sagittis Street
793-5137 Aliquam Av.
P.O. Box 138, 9380 Ullamcorper Avenue
1040 Ut St.
Ap #540-7451 Vel Avenue
P.O. Box 729, 5077 Sodales. St.
399-5285 Cursus Rd.
P.O. Box 507, 3755 Nonummy St.
Ap #102-1969 Nonummy St.
4591 Nibh. Rd.
9241 Elementum St.
